AD_10252,0.547329646
AD_10253,0.517434349
JC_0007,0.446753356
JC_0077,0.482327644
JC_0200,0.503747899
JC_0677,0.491758868
JC_0769,0.399141892
JC_0878,0.4811933
JC_0905,0.450181588
JC_0914,0.459076455
JC_1005,0.382479675
JC_10119,0.529636719
JC_10121,0.490974584
JC_10122,0.481464056
JC_10145,0.506286193
JC_10147,0.506620749
JC_10220,0.460403925
JC_10295,0.501506639
JC_10304,0.495526864
JC_10311,0.46902127
JC_10312,0.547507056
JC_10316,0.506487081
JC_10317,0.500251982
JC_10318,0.510436265
JC_10329,0.502844184
JC_10414,0.473764479
JC_1212,0.410802239
JC_1218,0.389908412
JG_10182,0.495815554
JG_10255,0.509039095
